temp,pH,DO,Conductivity,Turbidity,Next_DO
14.15,8,8.1,1055.1,10.6,8
14.2,8,8,1061,10.8,8
13.95,8,8,1063.55,11.15,8
13.7,8,8,1066.1,11.5,7.9
12.8,8,7.9,1097.7,8.1,8
13.3,8,8,1077.8,9.4,8
13.3,8,8,1072.5,7.5,7.9
13.1,8,7.9,1074.5,7,7.85
13.05,8,7.85,1079.5,6.9,7.8
13,8,7.8,1084.5,6.8,7.8
12.3,8,7.8,1078.6,7.4,8
12.8,8,8,1054.4,7.2,8.05
12.7,8,8.05,1054.6,7.4,8.1
12.6,8,8.1,1054.8,7.6,7.95
12.65,8,7.95,1075.25,6.75,7.8
12.7,8,7.8,1095.7,5.9,8.1
11.8,8,8.1,1047.8,5.6,8.3
13.6,8,8.3,1005.1,5.8,8.4
14.9,8,8.4,1068,5.6,8.1
14.1,8,8.1,1050.6,5.2,8.05
13.6,8,8.05,1039.05,4.65,8
13.1,8,8,1027.5,4.1,8
12.3,8,8,1047.3,4.2,8.2
13.3,8,8.2,1029.4,3.3,8.3
14.4,8,8.3,1045.4,4.1,8.2
13.8,8,8.2,1026.5,3.2,8.15
13.55,8,8.15,1026,3.05,8.1
13.3,8,8.1,1025.5,2.9,8.1
12.7,8,8.1,1050.4,3.7,7.1
14.1,8,7.1,1014.9,3.4,8.6
15,8,8.6,994.8,3.8,8.4
14.1,8,8.4,1001.1,3.8,8.4
13.9,8,8.4,1003.65,3.8,8.4
13.7,8,8.4,1006.2,3.8,8.4
13,8,8.4,1037.6,4.5,8.4
13.5,8,8.4,1039.7,3.4,8.5
13.6,8,8.5,1032.5,3.4,8.4
13.6,8,8.4,1014.8,2.7,8.4
13.6,8,8.4,1008.5,3.1,8.4
13.6,8,8.4,1002.2,3.5,8.3
13,8,8.3,1025.9,2.9,8.5
14.6,8,8.5,996.7,2.8,8.6
15.4,8,8.6,950.2,2.6,8.6
14.5,8,8.6,964.2,2.2,8.5
14.25,8,8.5,980.4,2.6,8.4
14,8,8.4,996.6,3,8.6
13.3,8,8.6,1027.8,3.9,8.8
13.8,8,8.8,1056.6,4.9,8.8
14.4,8,8.8,1027.1,4.9,8.7
14.4,8,8.7,1021.9,4.5,8.65
14.45,8,8.65,1007.65,4.3,8.6
14.5,8,8.6,993.4,4.1,8.9
13.8,8,8.9,1005.1,3.2,8.5
14.6,8,8.5,970.6,2.8,8.9
14.6,8,8.9,901.4,2.8,8.8
14.7,8,8.8,872.3,2.8,8.6
14.65,8,8.6,866.75,2.85,8.4
14.6,8,8.4,861.2,2.9,8.5
14,8,8.5,855.2,2.6,8.5
14.7,8,8.5,837.9,3,8.7
15.1,8,8.7,847.1,2.6,8.7
15,8,8.7,826.1,2.4,8.7
14.95,8,8.7,815.9,2.9,8.7
